latitude_deg,ocean_fraction
-90,0.0
-85,0.05438911060437039
-80,0.22232105924032713
-75,0.28139128277726727
-70,0.6097651900613328
-65,0.9928388456435152
-60,1.0
-55,0.9896282208541709
-50,0.9814358316394172
-45,0.9679326560720181
-40,0.9623448646696556
-35,0.9176934857419312
-30,0.7999589832087871
-25,0.7709018704974906
-20,0.7668893115386716
-15,0.7764101180343888
-10,0.8030363336073257
-5,0.7719456677631409
0,0.7991188671400689
5,0.780583889198581
10,0.7621878393953392
15,0.742430302916438
20,0.687684190175478
25,0.6391463252867333
30,0.570586850232815
35,0.5771273767292167
40,0.5526418541833864
45,0.515988245796935
50,0.4555202001798743
55,0.4820070787677247
60,0.4404226661089194
65,0.27035845182050044
70,0.48765497275677283
75,0.740797743248458
80,0.7592143188465256
85,1.0
90,1.0
