    i,        x,     lat,   solar_mon
  139, -0.30750, -17.909, 3.977653E+02
  140, -0.30250, -17.608, 3.983666E+02
  141, -0.29750, -17.308, 3.989572E+02
  142, -0.29250, -17.008, 3.995370E+02
  143, -0.28750, -16.708, 4.001061E+02
  144, -0.28250, -16.409, 4.006646E+02
  145, -0.27750, -16.111, 4.012126E+02
  146, -0.27250, -15.813, 4.017501E+02
  147, -0.26750, -15.516, 4.022770E+02
  148, -0.26250, -15.218, 4.027933E+02
  149, -0.25750, -14.922, 4.032992E+02
  150, -0.25250, -14.625, 4.037945E+02
  151, -0.24750, -14.330, 4.042795E+02
  152, -0.24250, -14.034, 4.047540E+02
  153, -0.23750, -13.739, 4.052182E+02
  154, -0.23250, -13.444, 4.056724E+02
  155, -0.22750, -13.150, 4.061165E+02
  156, -0.22250, -12.856, 4.065506E+02
  157, -0.21750, -12.562, 4.069744E+02
  158, -0.21250, -12.269, 4.073881E+02
  159, -0.20750, -11.976, 4.077916E+02
  160, -0.20250, -11.683, 4.081850E+02
  161, -0.19750, -11.391, 4.085683E+02
  162, -0.19250, -11.099, 4.089415E+02
  163, -0.18750, -10.807, 4.093047E+02
  164, -0.18250, -10.515, 4.096579E+02
  165, -0.17750, -10.224, 4.100013E+02
  166, -0.17250,  -9.933, 4.103348E+02
  167, -0.16750,  -9.642, 4.106585E+02
  168, -0.16250,  -9.352, 4.109723E+02
  169, -0.15750,  -9.062, 4.112763E+02
  170, -0.15250,  -8.772, 4.115705E+02
  171, -0.14750,  -8.482, 4.118550E+02
  172, -0.14250,  -8.193, 4.121298E+02
  173, -0.13750,  -7.903, 4.123949E+02
  174, -0.13250,  -7.614, 4.126502E+02
  175, -0.12750,  -7.325, 4.128956E+02
  176, -0.12250,  -7.036, 4.131312E+02
  177, -0.11750,  -6.748, 4.133571E+02
  178, -0.11250,  -6.459, 4.135734E+02
  179, -0.10750,  -6.171, 4.137802E+02
  180, -0.10250,  -5.883, 4.139774E+02
  181, -0.09750,  -5.595, 4.141649E+02
  182, -0.09250,  -5.307, 4.143427E+02
  183, -0.08750,  -5.020, 4.145108E+02
  184, -0.08250,  -4.732, 4.146692E+02
  185, -0.07750,  -4.445, 4.148183E+02
  186, -0.07250,  -4.158, 4.149578E+02
  187, -0.06750,  -3.870, 4.150879E+02
  188, -0.06250,  -3.583, 4.152084E+02
  189, -0.05750,  -3.296, 4.153193E+02
  190, -0.05250,  -3.009, 4.154205E+02
  191, -0.04750,  -2.723, 4.155122E+02
  192, -0.04250,  -2.436, 4.155944E+02
  193, -0.03750,  -2.149, 4.156672E+02
  194, -0.03250,  -1.862, 4.157305E+02
  195, -0.02750,  -1.576, 4.157843E+02
  196, -0.02250,  -1.289, 4.158286E+02
  197, -0.01750,  -1.003, 4.158633E+02
  198, -0.01250,  -0.716, 4.158886E+02
  199, -0.00750,  -0.430, 4.159043E+02
  200, -0.00250,  -0.143, 4.159106E+02
  201,  0.00250,   0.143, 4.159073E+02
  202,  0.00750,   0.430, 4.158947E+02
  203,  0.01250,   0.716, 4.158727E+02
  204,  0.01750,   1.003, 4.158413E+02
  205,  0.02250,   1.289, 4.158004E+02
  206,  0.02750,   1.576, 4.157498E+02
  207,  0.03250,   1.862, 4.156896E+02
  208,  0.03750,   2.149, 4.156197E+02
  209,  0.04250,   2.436, 4.155404E+02
  210,  0.04750,   2.723, 4.154516E+02
  211,  0.05250,   3.009, 4.153534E+02
  212,  0.05750,   3.296, 4.152457E+02
  213,  0.06250,   3.583, 4.151285E+02
  214,  0.06750,   3.870, 4.150019E+02
  215,  0.07250,   4.158, 4.148659E+02
  216,  0.07750,   4.445, 4.147202E+02
  217,  0.08250,   4.732, 4.145650E+02
  218,  0.08750,   5.020, 4.144001E+02
  219,  0.09250,   5.307, 4.142256E+02
  220,  0.09750,   5.595, 4.140414E+02
  221,  0.10250,   5.883, 4.138476E+02
  222,  0.10750,   6.171, 4.136442E+02
  223,  0.11250,   6.459, 4.134311E+02
  224,  0.11750,   6.748, 4.132084E+02
  225,  0.12250,   7.036, 4.129760E+02
  226,  0.12750,   7.325, 4.127340E+02
