    i,        x,     lat,         t2m
  139, -0.30750, -17.909, 2.969725E+02
  140, -0.30250, -17.608, 2.970418E+02
  141, -0.29750, -17.308, 2.971170E+02
  142, -0.29250, -17.008, 2.971982E+02
  143, -0.28750, -16.708, 2.972776E+02
  144, -0.28250, -16.409, 2.973468E+02
  145, -0.27750, -16.111, 2.974058E+02
  146, -0.27250, -15.813, 2.974536E+02
  147, -0.26750, -15.516, 2.974870E+02
  148, -0.26250, -15.218, 2.975057E+02
  149, -0.25750, -14.922, 2.975111E+02
  150, -0.25250, -14.625, 2.975338E+02
  151, -0.24750, -14.330, 2.975857E+02
  152, -0.24250, -14.034, 2.976667E+02
  153, -0.23750, -13.739, 2.977654E+02
  154, -0.23250, -13.444, 2.978638E+02
  155, -0.22750, -13.150, 2.979616E+02
  156, -0.22250, -12.856, 2.980570E+02
  157, -0.21750, -12.562, 2.981384E+02
  158, -0.21250, -12.269, 2.982037E+02
  159, -0.20750, -11.976, 2.982532E+02
  160, -0.20250, -11.683, 2.982982E+02
  161, -0.19750, -11.391, 2.983472E+02
  162, -0.19250, -11.099, 2.984003E+02
  163, -0.18750, -10.807, 2.984549E+02
  164, -0.18250, -10.515, 2.985028E+02
  165, -0.17750, -10.224, 2.985434E+02
  166, -0.17250,  -9.933, 2.985770E+02
  167, -0.16750,  -9.642, 2.986134E+02
  168, -0.16250,  -9.352, 2.986571E+02
  169, -0.15750,  -9.062, 2.987080E+02
  170, -0.15250,  -8.772, 2.987622E+02
  171, -0.14750,  -8.482, 2.988110E+02
  172, -0.14250,  -8.193, 2.988542E+02
  173, -0.13750,  -7.903, 2.988919E+02
  174, -0.13250,  -7.614, 2.989255E+02
  175, -0.12750,  -7.325, 2.989555E+02
  176, -0.12250,  -7.036, 2.989818E+02
  177, -0.11750,  -6.748, 2.990062E+02
  178, -0.11250,  -6.459, 2.990313E+02
  179, -0.10750,  -6.171, 2.990571E+02
  180, -0.10250,  -5.883, 2.990835E+02
  181, -0.09750,  -5.595, 2.991088E+02
  182, -0.09250,  -5.307, 2.991327E+02
  183, -0.08750,  -5.020, 2.991550E+02
  184, -0.08250,  -4.732, 2.991695E+02
  185, -0.07750,  -4.445, 2.991678E+02
  186, -0.07250,  -4.158, 2.991498E+02
  187, -0.06750,  -3.870, 2.991190E+02
  188, -0.06250,  -3.583, 2.990996E+02
  189, -0.05750,  -3.296, 2.990965E+02
  190, -0.05250,  -3.009, 2.991098E+02
  191, -0.04750,  -2.723, 2.991244E+02
