latitude_deg,ocean_fraction
-90,0.0
-85,0.05
-80,0.22
-75,0.28
-70,0.61
-65,0.99
-60,1.0
-55,0.99
-50,0.98
-45,0.97
-40,0.96
-35,0.92
-30,0.80
-25,0.77
-20,0.77
-15,0.78
-10,0.80
-5,0.77
0,0.80
5,0.78
10,0.76
15,0.74
20,0.69
25,0.64
30,0.57
35,0.58
40,0.55
45,0.52
50,0.46
55,0.48
60,0.44
65,0.27
70,0.49
75,0.74
80,0.76
85,1.0
90,1.0
