    i,        x,     lat,toa_sw_all_mon
  139, -0.30750, -17.909, 8.765668E+01
  140, -0.30250, -17.608, 8.785579E+01
  141, -0.29750, -17.308, 8.801357E+01
  142, -0.29250, -17.008, 8.813004E+01
  143, -0.28750, -16.708, 8.822186E+01
  144, -0.28250, -16.409, 8.830762E+01
  145, -0.27750, -16.111, 8.838732E+01
  146, -0.27250, -15.813, 8.846983E+01
  147, -0.26750, -15.516, 8.858837E+01
  148, -0.26250, -15.218, 8.874610E+01
  149, -0.25750, -14.922, 8.894129E+01
  150, -0.25250, -14.625, 8.913858E+01
  151, -0.24750, -14.330, 8.932407E+01
  152, -0.24250, -14.034, 8.949778E+01
  153, -0.23750, -13.739, 8.967686E+01
  154, -0.23250, -13.444, 8.988793E+01
  155, -0.22750, -13.150, 9.013130E+01
  156, -0.22250, -12.856, 9.039674E+01
  157, -0.21750, -12.562, 9.062001E+01
  158, -0.21250, -12.269, 9.078991E+01
  159, -0.20750, -11.976, 9.090677E+01
  160, -0.20250, -11.683, 9.102864E+01
  161, -0.19750, -11.391, 9.119823E+01
  162, -0.19250, -11.099, 9.141553E+01
  163, -0.18750, -10.807, 9.167433E+01
  164, -0.18250, -10.515, 9.195390E+01
  165, -0.17750, -10.224, 9.225261E+01
  166, -0.17250,  -9.933, 9.257091E+01
  167, -0.16750,  -9.642, 9.292069E+01
  168, -0.16250,  -9.352, 9.330721E+01
  169, -0.15750,  -9.062, 9.373046E+01
  170, -0.15250,  -8.772, 9.414564E+01
  171, -0.14750,  -8.482, 9.445576E+01
  172, -0.14250,  -8.193, 9.465747E+01
  173, -0.13750,  -7.903, 9.475765E+01
  174, -0.13250,  -7.614, 9.484558E+01
  175, -0.12750,  -7.325, 9.494870E+01
  176, -0.12250,  -7.036, 9.506701E+01
  177, -0.11750,  -6.748, 9.519086E+01
  178, -0.11250,  -6.459, 9.530480E+01
  179, -0.10750,  -6.171, 9.540862E+01
  180, -0.10250,  -5.883, 9.549604E+01
  181, -0.09750,  -5.595, 9.551033E+01
  182, -0.09250,  -5.307, 9.543792E+01
  183, -0.08750,  -5.020, 9.527882E+01
  184, -0.08250,  -4.732, 9.511955E+01
  185, -0.07750,  -4.445, 9.507296E+01
  186, -0.07250,  -4.158, 9.513955E+01
  187, -0.06750,  -3.870, 9.529005E+01
  188, -0.06250,  -3.583, 9.530926E+01
  189, -0.05750,  -3.296, 9.515375E+01
  190, -0.05250,  -3.009, 9.482352E+01
  191, -0.04750,  -2.723, 9.443867E+01
  192, -0.04250,  -2.436, 9.413594E+01
  193, -0.03750,  -2.149, 9.391547E+01
  194, -0.03250,  -1.862, 9.375507E+01
  195, -0.02750,  -1.576, 9.351008E+01
  196, -0.02250,  -1.289, 9.315439E+01
  197, -0.01750,  -1.003, 9.268798E+01
  198, -0.01250,  -0.716, 9.228879E+01
  199, -0.00750,  -0.430, 9.214170E+01
  200, -0.00250,  -0.143, 9.224672E+01
  201,  0.00250,   0.143, 9.259099E+01
  202,  0.00750,   0.430, 9.309731E+01
  203,  0.01250,   0.716, 9.375279E+01
  204,  0.01750,   1.003, 9.455745E+01
  205,  0.02250,   1.289, 9.548162E+01
  206,  0.02750,   1.576, 9.649675E+01
  207,  0.03250,   1.862, 9.760285E+01
  208,  0.03750,   2.149, 9.878280E+01
  209,  0.04250,   2.436, 9.994183E+01
  210,  0.04750,   2.723, 1.010654E+02
  211,  0.05250,   3.009, 1.021536E+02
  212,  0.05750,   3.296, 1.032251E+02
  213,  0.06250,   3.583, 1.042967E+02
  214,  0.06750,   3.870, 1.053682E+02
  215,  0.07250,   4.158, 1.064249E+02
  216,  0.07750,   4.445, 1.073937E+02
  217,  0.08250,   4.732, 1.082646E+02
  218,  0.08750,   5.020, 1.090373E+02
  219,  0.09250,   5.307, 1.096295E+02
  220,  0.09750,   5.595, 1.099780E+02
  221,  0.10250,   5.883, 1.100830E+02
  222,  0.10750,   6.171, 1.099641E+02
  223,  0.11250,   6.459, 1.097041E+02
  224,  0.11750,   6.748, 1.093121E+02
  225,  0.12250,   7.036, 1.087881E+02
  226,  0.12750,   7.325, 1.081421E+02
  227,  0.13250,   7.614, 1.073800E+02
  228,  0.13750,   7.903, 1.065019E+02
  229,  0.14250,   8.193, 1.055201E+02
  230,  0.14750,   8.482, 1.044747E+02
  231,  0.15250,   8.772, 1.033688E+02
  232,  0.15750,   9.062, 1.022038E+02
  233,  0.16250,   9.352, 1.010203E+02
  234,  0.16750,   9.642, 9.983702E+01
  235,  0.17250,   9.933, 9.865395E+01
  236,  0.17750,  10.224, 9.745116E+01
  237,  0.18250,  10.515, 9.618337E+01
  238,  0.18750,  10.807, 9.484884E+01
  239,  0.19250,  11.099, 9.346541E+01
  240,  0.19750,  11.391, 9.225740E+01
  241,  0.20250,  11.683, 9.129231E+01
  242,  0.20750,  11.976, 9.057015E+01
  243,  0.21250,  12.269, 9.003768E+01
  244,  0.21750,  12.562, 8.962253E+01
  245,  0.22250,  12.856, 8.932430E+01
  246,  0.22750,  13.150, 8.913742E+01
  247,  0.23250,  13.444, 8.902995E+01
  248,  0.23750,  13.739, 8.899681E+01
  249,  0.24250,  14.034, 8.903801E+01
  250,  0.24750,  14.330, 8.915321E+01
  251,  0.25250,  14.625, 8.934221E+01
  252,  0.25750,  14.922, 8.960501E+01
  253,  0.26250,  15.218, 8.990782E+01
  254,  0.26750,  15.516, 9.016466E+01
  255,  0.27250,  15.813, 9.037128E+01
  256,  0.27750,  16.111, 9.053631E+01
  257,  0.28250,  16.409, 9.075010E+01
  258,  0.28750,  16.708, 9.103668E+01
  259,  0.29250,  17.008, 9.139605E+01
  260,  0.29750,  17.308, 9.180926E+01
  261,  0.30250,  17.608, 9.225930E+01
  262,  0.30750,  17.909, 9.274618E+01
  263,  0.31250,  18.210, 9.321912E+01
  264,  0.31750,  18.512, 9.353050E+01
  265,  0.32250,  18.814, 9.367089E+01
  266,  0.32750,  19.117, 9.364914E+01
  267,  0.33250,  19.421, 9.355166E+01
  268,  0.33750,  19.725, 9.340035E+01
  269,  0.34250,  20.029, 9.319573E+01
  270,  0.34750,  20.334, 9.300450E+01
  271,  0.35250,  20.640, 9.287265E+01
  272,  0.35750,  20.947, 9.280019E+01
  273,  0.36250,  21.254, 9.277322E+01
  274,  0.36750,  21.562, 9.276584E+01
  275,  0.37250,  21.870, 9.277744E+01
  276,  0.37750,  22.179, 9.280357E+01
  277,  0.38250,  22.489, 9.282455E+01
  278,  0.38750,  22.799, 9.283807E+01
  279,  0.39250,  23.110, 9.284495E+01
  280,  0.39750,  23.422, 9.285461E+01
  281,  0.40250,  23.735, 9.286974E+01
  282,  0.40750,  24.048, 9.289164E+01
  283,  0.41250,  24.362, 9.298853E+01
  284,  0.41750,  24.677, 9.319891E+01
  285,  0.42250,  24.993, 9.352279E+01
  286,  0.42750,  25.309, 9.384869E+01
  287,  0.43250,  25.626, 9.405579E+01
  288,  0.43750,  25.944, 9.414404E+01
  289,  0.44250,  26.264, 9.427384E+01
  290,  0.44750,  26.583, 9.474463E+01
  291,  0.45250,  26.904, 9.556324E+01
  292,  0.45750,  27.226, 9.657939E+01
  293,  0.46250,  27.549, 9.736554E+01
  294,  0.46750,  27.872, 9.789545E+01
  295,  0.47250,  28.197, 9.821228E+01
  296,  0.47750,  28.522, 9.848756E+01
  297,  0.48250,  28.849, 9.873904E+01
  298,  0.48750,  29.176, 9.899211E+01
  299,  0.49250,  29.505, 9.937624E+01
  300,  0.49750,  29.835, 9.990960E+01
  301,  0.50250,  30.166, 1.005135E+02
  302,  0.50750,  30.497, 1.007232E+02
  303,  0.51250,  30.830, 1.004625E+02
  304,  0.51750,  31.165, 9.981235E+01
  305,  0.52250,  31.500, 9.926721E+01
  306,  0.52750,  31.837, 9.891065E+01
  307,  0.53250,  32.175, 9.872689E+01
  308,  0.53750,  32.514, 9.862844E+01
