year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1786,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.00,-0.01,-0.55,-0.04,0.02,-0.00,-0.01,0.08,-0.59,-0.52
1787,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,-0.11,-0.03,0.02,-0.01,-0.01,0.07,-0.14,-0.07
1788,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.02,0.00,-0.01,0.09,0.04,0.02,-0.02,-0.01,0.06,0.13,0.19
1789,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.16,0.12,0.02,-0.01,-0.01,0.07,0.28,0.35
1790,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.19,0.14,0.02,-0.01,-0.01,0.07,0.33,0.41
1791,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.00,-0.01,0.20,0.13,0.02,-0.00,-0.01,0.08,0.33,0.41
1792,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.00,-0.01,0.20,0.11,0.02,-0.00,-0.01,0.09,0.31,0.40
1793,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.00,-0.01,0.20,0.08,0.02,-0.00,-0.01,0.09,0.28,0.37
1794,0.06,0.02,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.01,0.20,0.05,0.03,-0.02,-0.01,0.08,0.25,0.32
1795,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.20,0.01,0.03,-0.01,-0.01,0.09,0.21,0.29
1796,0.06,0.02,0.00,0.00,0.01,0.00,0.00,-0.00,-0.00,0.00,-0.01,0.06,-0.03,0.03,-0.00,-0.01,0.09,0.03,0.12
1797,0.07,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,-0.05,-0.05,0.03,-0.01,-0.01,0.09,-0.11,-0.02
1798,0.07,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.06,-0.06,0.03,-0.01,-0.01,0.09,-0.01,0.08
1799,0.07,0.02,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.01,0.15,-0.06,0.03,-0.01,-0.01,0.09,0.09,0.18
1800,0.07,0.03,0.00,0.00,0.01,0.00,0.00,-0.00,-0.02,0.00,-0.01,0.18,-0.04,0.03,-0.02,-0.01,0.09,0.14,0.23
1801,0.07,0.03,0.00,0.00,0.02,0.00,0.00,-0.00,-0.01,0.00,-0.01,0.19,-0.01,0.03,-0.01,-0.01,0.09,0.18,0.28
