    i,        x,     lat,toa_lw_all_mon
  139, -0.30750, -17.909, 2.716676E+02
  140, -0.30250, -17.608, 2.715118E+02
  141, -0.29750, -17.308, 2.713445E+02
  142, -0.29250, -17.008, 2.711658E+02
  143, -0.28750, -16.708, 2.709606E+02
  144, -0.28250, -16.409, 2.707125E+02
  145, -0.27750, -16.111, 2.704213E+02
  146, -0.27250, -15.813, 2.700921E+02
  147, -0.26750, -15.516, 2.697439E+02
  148, -0.26250, -15.218, 2.693783E+02
  149, -0.25750, -14.922, 2.689960E+02
  150, -0.25250, -14.625, 2.686082E+02
  151, -0.24750, -14.330, 2.682193E+02
  152, -0.24250, -14.034, 2.678293E+02
  153, -0.23750, -13.739, 2.674359E+02
  154, -0.23250, -13.444, 2.670356E+02
  155, -0.22750, -13.150, 2.666282E+02
  156, -0.22250, -12.856, 2.662139E+02
  157, -0.21750, -12.562, 2.657924E+02
  158, -0.21250, -12.269, 2.653639E+02
  159, -0.20750, -11.976, 2.649283E+02
  160, -0.20250, -11.683, 2.644725E+02
  161, -0.19750, -11.391, 2.639869E+02
  162, -0.19250, -11.099, 2.634714E+02
  163, -0.18750, -10.807, 2.629286E+02
  164, -0.18250, -10.515, 2.623670E+02
  165, -0.17750, -10.224, 2.617873E+02
  166, -0.17250,  -9.933, 2.611896E+02
  167, -0.16750,  -9.642, 2.605797E+02
  168, -0.16250,  -9.352, 2.599603E+02
  169, -0.15750,  -9.062, 2.593313E+02
  170, -0.15250,  -8.772, 2.587114E+02
  171, -0.14750,  -8.482, 2.581407E+02
  172, -0.14250,  -8.193, 2.576206E+02
  173, -0.13750,  -7.903, 2.571498E+02
  174, -0.13250,  -7.614, 2.567122E+02
  175, -0.12750,  -7.325, 2.563027E+02
  176, -0.12250,  -7.036, 2.559214E+02
  177, -0.11750,  -6.748, 2.555632E+02
  178, -0.11250,  -6.459, 2.552202E+02
  179, -0.10750,  -6.171, 2.548923E+02
  180, -0.10250,  -5.883, 2.545790E+02
  181, -0.09750,  -5.595, 2.542771E+02
  182, -0.09250,  -5.307, 2.539859E+02
  183, -0.08750,  -5.020, 2.537052E+02
  184, -0.08250,  -4.732, 2.534335E+02
  185, -0.07750,  -4.445, 2.531687E+02
  186, -0.07250,  -4.158, 2.529109E+02
  187, -0.06750,  -3.870, 2.526630E+02
  188, -0.06250,  -3.583, 2.524483E+02
  189, -0.05750,  -3.296, 2.522714E+02
  190, -0.05250,  -3.009, 2.521322E+02
  191, -0.04750,  -2.723, 2.520266E+02
  192, -0.04250,  -2.436, 2.519494E+02
  193, -0.03750,  -2.149, 2.519008E+02
  194, -0.03250,  -1.862, 2.518792E+02
  195, -0.02750,  -1.576, 2.518741E+02
  196, -0.02250,  -1.289, 2.518840E+02
  197, -0.01750,  -1.003, 2.519086E+02
  198, -0.01250,  -0.716, 2.519087E+02
  199, -0.00750,  -0.430, 2.518432E+02
  200, -0.00250,  -0.143, 2.517124E+02
  201,  0.00250,   0.143, 2.515139E+02
  202,  0.00750,   0.430, 2.512353E+02
  203,  0.01250,   0.716, 2.508745E+02
  204,  0.01750,   1.003, 2.504315E+02
  205,  0.02250,   1.289, 2.499211E+02
  206,  0.02750,   1.576, 2.493576E+02
  207,  0.03250,   1.862, 2.487409E+02
  208,  0.03750,   2.149, 2.480742E+02
  209,  0.04250,   2.436, 2.473741E+02
  210,  0.04750,   2.723, 2.466434E+02
  211,  0.05250,   3.009, 2.458820E+02
  212,  0.05750,   3.296, 2.451047E+02
  213,  0.06250,   3.583, 2.443247E+02
  214,  0.06750,   3.870, 2.435418E+02
  215,  0.07250,   4.158, 2.427653E+02
  216,  0.07750,   4.445, 2.420412E+02
  217,  0.08250,   4.732, 2.413757E+02
  218,  0.08750,   5.020, 2.407690E+02
  219,  0.09250,   5.307, 2.402650E+02
  220,  0.09750,   5.595, 2.398975E+02
  221,  0.10250,   5.883, 2.396663E+02
  222,  0.10750,   6.171, 2.395700E+02
  223,  0.11250,   6.459, 2.396019E+02
  224,  0.11750,   6.748, 2.397612E+02
  225,  0.12250,   7.036, 2.400479E+02
  226,  0.12750,   7.325, 2.404537E+02
  227,  0.13250,   7.614, 2.409736E+02
  228,  0.13750,   7.903, 2.416075E+02
  229,  0.14250,   8.193, 2.423418E+02
  230,  0.14750,   8.482, 2.431325E+02
  231,  0.15250,   8.772, 2.439760E+02
  232,  0.15750,   9.062, 2.448728E+02
