    i,        x,     lat,         t2m
160,-0.2025,-11.683,2.98E+02
161,-0.1975,-11.391,2.98E+02
162,-0.1925,-11.099,2.98E+02
163,-0.1875,-10.807,2.98E+02
164,-0.1825,-10.515,2.99E+02
165,-0.1775,-10.224,2.99E+02
166,-0.1725,-9.933,2.99E+02
167,-0.1675,-9.642,2.99E+02
168,-0.1625,-9.352,2.99E+02
169,-0.1575,-9.062,2.99E+02
170,-0.1525,-8.772,2.99E+02
171,-0.1475,-8.482,2.99E+02
172,-0.1425,-8.193,2.99E+02
173,-0.1375,-7.903,2.99E+02
174,-0.1325,-7.614,2.99E+02
175,-0.1275,-7.325,2.99E+02
176,-0.1225,-7.036,2.99E+02
177,-0.1175,-6.748,2.99E+02
178,-0.1125,-6.459,2.99E+02
179,-0.1075,-6.171,2.99E+02
180,-0.1025,-5.883,2.99E+02
181,-0.0975,-5.595,2.99E+02
182,-0.0925,-5.307,2.99E+02
183,-0.0875,-5.02,2.99E+02
184,-0.0825,-4.732,2.99E+02
185,-0.0775,-4.445,2.99E+02
186,-0.0725,-4.158,2.99E+02
187,-0.0675,-3.87,2.99E+02
188,-0.0625,-3.583,2.99E+02
189,-0.0575,-3.296,2.99E+02
190,-0.0525,-3.009,2.99E+02
191,-0.0475,-2.723,2.99E+02
192,-0.0425,-2.436,2.99E+02
193,-0.0375,-2.149,2.99E+02
194,-0.0325,-1.862,2.99E+02
195,-0.0275,-1.576,2.99E+02
196,-0.0225,-1.289,2.99E+02
197,-0.0175,-1.003,2.99E+02
198,-0.0125,-0.716,2.99E+02
199,-0.0075,-0.43,2.99E+02
200,-0.0025,-0.143,2.99E+02
201,0.0025,0.143,2.99E+02
202,0.0075,0.43,2.99E+02
203,0.0125,0.716,2.99E+02
204,0.0175,1.003,2.99E+02
205,0.0225,1.289,2.99E+02
206,0.0275,1.576,2.99E+02
207,0.0325,1.862,2.99E+02
208,0.0375,2.149,2.99E+02
209,0.0425,2.436,2.99E+02
210,0.0475,2.723,2.99E+02
211,0.0525,3.009,2.99E+02
212,0.0575,3.296,3.00E+02
213,0.0625,3.583,3.00E+02
214,0.0675,3.87,3.00E+02
215,0.0725,4.158,3.00E+02
216,0.0775,4.445,3.00E+02
217,0.0825,4.732,3.00E+02
218,0.0875,5.02,3.00E+02
219,0.0925,5.307,3.00E+02
220,0.0975,5.595,3.00E+02
221,0.1025,5.883,3.00E+02
222,0.1075,6.171,3.00E+02
223,0.1125,6.459,3.00E+02
224,0.1175,6.748,3.00E+02
225,0.1225,7.036,3.00E+02
226,0.1275,7.325,3.00E+02
227,0.1325,7.614,3.00E+02
228,0.1375,7.903,3.00E+02
229,0.1425,8.193,3.00E+02
230,0.1475,8.482,3.00E+02
231,0.1525,8.772,3.00E+02
232,0.1575,9.062,3.00E+02
233,0.1625,9.352,3.00E+02
234,0.1675,9.642,3.00E+02
235,0.1725,9.933,3.00E+02
236,0.1775,10.224,3.00E+02
237,0.1825,10.515,3.00E+02
238,0.1875,10.807,3.00E+02
239,0.1925,11.099,3.00E+02
240,0.1975,11.391,3.00E+02
241,0.2025,11.683,3.00E+02
242,0.2075,11.976,3.00E+02
243,0.2125,12.269,3.00E+02
244,0.2175,12.562,3.00E+02
245,0.2225,12.856,3.00E+02
246,0.2275,13.15,3.00E+02
247,0.2325,13.444,3.00E+02
248,0.2375,13.739,3.00E+02
249,0.2425,14.034,3.00E+02
250,0.2475,14.33,3.00E+02
251,0.2525,14.625,3.00E+02
252,0.2575,14.922,3.00E+02
253,0.2625,15.218,3.00E+02
254,0.2675,15.516,3.00E+02
255,0.2725,15.813,3.00E+02
256,0.2775,16.111,3.00E+02
257,0.2825,16.409,3.00E+02
258,0.2875,16.708,2.99E+02
259,0.2925,17.008,2.99E+02
260,0.2975,17.308,2.99E+02
261,0.3025,17.608,2.99E+02
262,0.3075,17.909,2.99E+02
263,0.3125,18.21,2.99E+02
264,0.3175,18.512,2.99E+02
265,0.3225,18.814,2.99E+02
266,0.3275,19.117,2.99E+02
267,0.3325,19.421,2.99E+02
268,0.3375,19.725,2.99E+02
269,0.3425,20.029,2.98E+02
270,0.3475,20.334,2.98E+02
271,0.3525,20.64,2.98E+02
272,0.3575,20.947,2.98E+02
273,0.3625,21.254,2.98E+02
274,0.3675,21.562,2.98E+02
275,0.3725,21.87,2.98E+02
276,0.3775,22.179,2.98E+02
277,0.3825,22.489,2.98E+02
278,0.3875,22.799,2.98E+02
279,0.3925,23.11,2.97E+02
280,0.3975,23.422,2.97E+02
281,0.4025,23.735,2.97E+02
282,0.4075,24.048,2.97E+02
283,0.4125,24.362,2.97E+02
284,0.4175,24.677,2.97E+02
285,0.4225,24.993,2.97E+02
286,0.4275,25.309,2.97E+02
287,0.4325,25.626,2.97E+02
288,0.4375,25.944,2.96E+02
