    i,        x,     lat,         lsm
  139, -0.30750, -17.909, 2.417483E-01
  140, -0.30250, -17.608, 2.418554E-01
  141, -0.29750, -17.308, 2.380639E-01
  142, -0.29250, -17.008, 2.388369E-01
  143, -0.28750, -16.708, 2.390450E-01
  144, -0.28250, -16.409, 2.387219E-01
  145, -0.27750, -16.111, 2.338138E-01
  146, -0.27250, -15.813, 2.305119E-01
  147, -0.26750, -15.516, 2.303088E-01
  148, -0.26250, -15.218, 2.298709E-01
  149, -0.25750, -14.922, 2.239114E-01
  150, -0.25250, -14.625, 2.202594E-01
  151, -0.24750, -14.330, 2.167766E-01
  152, -0.24250, -14.034, 2.126671E-01
  153, -0.23750, -13.739, 2.094981E-01
  154, -0.23250, -13.444, 2.060962E-01
  155, -0.22750, -13.150, 2.045102E-01
  156, -0.22250, -12.856, 2.042947E-01
  157, -0.21750, -12.562, 2.038522E-01
  158, -0.21250, -12.269, 1.982399E-01
  159, -0.20750, -11.976, 1.910165E-01
  160, -0.20250, -11.683, 1.902750E-01
  161, -0.19750, -11.391, 1.894892E-01
  162, -0.19250, -11.099, 1.864405E-01
  163, -0.18750, -10.807, 1.878193E-01
  164, -0.18250, -10.515, 1.924041E-01
  165, -0.17750, -10.224, 1.962447E-01
  166, -0.17250,  -9.933, 2.013388E-01
  167, -0.16750,  -9.642, 2.055931E-01
  168, -0.16250,  -9.352, 2.064847E-01
  169, -0.15750,  -9.062, 2.111748E-01
  170, -0.15250,  -8.772, 2.202223E-01
  171, -0.14750,  -8.482, 2.272628E-01
  172, -0.14250,  -8.193, 2.297777E-01
  173, -0.13750,  -7.903, 2.321335E-01
  174, -0.13250,  -7.614, 2.370727E-01
  175, -0.12750,  -7.325, 2.389198E-01
  176, -0.12250,  -7.036, 2.385845E-01
  177, -0.11750,  -6.748, 2.359688E-01
  178, -0.11250,  -6.459, 2.345749E-01
  179, -0.10750,  -6.171, 2.347131E-01
  180, -0.10250,  -5.883, 2.345566E-01
  181, -0.09750,  -5.595, 2.358824E-01
  182, -0.09250,  -5.307, 2.351922E-01
  183, -0.08750,  -5.020, 2.320313E-01
  184, -0.08250,  -4.732, 2.344783E-01
  185, -0.07750,  -4.445, 2.381466E-01
  186, -0.07250,  -4.158, 2.394882E-01
  187, -0.06750,  -3.870, 2.424152E-01
  188, -0.06250,  -3.583, 2.484229E-01
  189, -0.05750,  -3.296, 2.566074E-01
  190, -0.05250,  -3.009, 2.567699E-01
  191, -0.04750,  -2.723, 2.458849E-01
  192, -0.04250,  -2.436, 2.324143E-01
  193, -0.03750,  -2.149, 2.282270E-01
  194, -0.03250,  -1.862, 2.296824E-01
  195, -0.02750,  -1.576, 2.290459E-01
  196, -0.02250,  -1.289, 2.298223E-01
  197, -0.01750,  -1.003, 2.272893E-01
  198, -0.01250,  -0.716, 2.185381E-01
  199, -0.00750,  -0.430, 2.118598E-01
  200, -0.00250,  -0.143, 2.081068E-01
  201,  0.00250,   0.143, 2.102670E-01
  202,  0.00750,   0.430, 2.192676E-01
  203,  0.01250,   0.716, 2.268247E-01
  204,  0.01750,   1.003, 2.262019E-01
  205,  0.02250,   1.289, 2.182154E-01
  206,  0.02750,   1.576, 2.127521E-01
  207,  0.03250,   1.862, 2.076016E-01
  208,  0.03750,   2.149, 2.083603E-01
  209,  0.04250,   2.436, 2.083580E-01
  210,  0.04750,   2.723, 2.060925E-01
  211,  0.05250,   3.009, 2.020981E-01
  212,  0.05750,   3.296, 1.998606E-01
  213,  0.06250,   3.583, 2.005513E-01
  214,  0.06750,   3.870, 2.014138E-01
  215,  0.07250,   4.158, 2.039445E-01
  216,  0.07750,   4.445, 2.106956E-01
  217,  0.08250,   4.732, 2.169838E-01
  218,  0.08750,   5.020, 2.232373E-01
  219,  0.09250,   5.307, 2.315059E-01
  220,  0.09750,   5.595, 2.303122E-01
  221,  0.10250,   5.883, 2.262194E-01
  222,  0.10750,   6.171, 2.282148E-01
  223,  0.11250,   6.459, 2.335144E-01
  224,  0.11750,   6.748, 2.358551E-01
  225,  0.12250,   7.036, 2.369547E-01
  226,  0.12750,   7.325, 2.406832E-01
  227,  0.13250,   7.614, 2.454957E-01
  228,  0.13750,   7.903, 2.479704E-01
  229,  0.14250,   8.193, 2.509350E-01
  230,  0.14750,   8.482, 2.523968E-01
  231,  0.15250,   8.772, 2.506641E-01
  232,  0.15750,   9.062, 2.468064E-01
  233,  0.16250,   9.352, 2.442827E-01
  234,  0.16750,   9.642, 2.424175E-01
  235,  0.17250,   9.933, 2.406847E-01
  236,  0.17750,  10.224, 2.411772E-01
  237,  0.18250,  10.515, 2.417999E-01
  238,  0.18750,  10.807, 2.326369E-01
  239,  0.19250,  11.099, 2.252545E-01
  240,  0.19750,  11.391, 2.144178E-01
  241,  0.20250,  11.683, 2.093874E-01
  242,  0.20750,  11.976, 2.130166E-01
  243,  0.21250,  12.269, 2.189796E-01
  244,  0.21750,  12.562, 2.229604E-01
  245,  0.22250,  12.856, 2.244556E-01
  246,  0.22750,  13.150, 2.274822E-01
  247,  0.23250,  13.444, 2.349102E-01
  248,  0.23750,  13.739, 2.440703E-01
  249,  0.24250,  14.034, 2.501417E-01
  250,  0.24750,  14.330, 2.522471E-01
  251,  0.25250,  14.625, 2.539906E-01
  252,  0.25750,  14.922, 2.577201E-01
  253,  0.26250,  15.218, 2.591139E-01
  254,  0.26750,  15.516, 2.601678E-01
  255,  0.27250,  15.813, 2.599526E-01
  256,  0.27750,  16.111, 2.632551E-01
  257,  0.28250,  16.409, 2.713306E-01
  258,  0.28750,  16.708, 2.796721E-01
  259,  0.29250,  17.008, 2.852765E-01
  260,  0.29750,  17.308, 2.893097E-01
  261,  0.30250,  17.608, 2.917752E-01
  262,  0.30750,  17.909, 2.999795E-01
  263,  0.31250,  18.210, 3.132247E-01
  264,  0.31750,  18.512, 3.139228E-01
  265,  0.32250,  18.814, 3.063555E-01
  266,  0.32750,  19.117, 3.104264E-01
  267,  0.33250,  19.421, 3.125922E-01
  268,  0.33750,  19.725, 3.126688E-01
  269,  0.34250,  20.029, 3.146231E-01
  270,  0.34750,  20.334, 3.175517E-01
  271,  0.35250,  20.640, 3.218572E-01
  272,  0.35750,  20.947, 3.295015E-01
  273,  0.36250,  21.254, 3.329622E-01
  274,  0.36750,  21.562, 3.351715E-01
  275,  0.37250,  21.870, 3.486079E-01
  276,  0.37750,  22.179, 3.566125E-01
  277,  0.38250,  22.489, 3.576390E-01
  278,  0.38750,  22.799, 3.595288E-01
  279,  0.39250,  23.110, 3.623124E-01
  280,  0.39750,  23.422, 3.614475E-01
  281,  0.40250,  23.735, 3.625879E-01
  282,  0.40750,  24.048, 3.629858E-01
  283,  0.41250,  24.362, 3.597482E-01
  284,  0.41750,  24.677, 3.606237E-01
  285,  0.42250,  24.993, 3.617559E-01
  286,  0.42750,  25.309, 3.703346E-01
  287,  0.43250,  25.626, 3.842233E-01
  288,  0.43750,  25.944, 3.881782E-01
  289,  0.44250,  26.264, 3.877484E-01
  290,  0.44750,  26.583, 3.901944E-01
  291,  0.45250,  26.904, 3.971429E-01
  292,  0.45750,  27.226, 4.030329E-01
  293,  0.46250,  27.549, 4.055642E-01
  294,  0.46750,  27.872, 4.078143E-01
  295,  0.47250,  28.197, 4.118603E-01
  296,  0.47750,  28.522, 4.107116E-01
  297,  0.48250,  28.849, 4.116086E-01
  298,  0.48750,  29.176, 4.140659E-01
  299,  0.49250,  29.505, 4.194855E-01
  300,  0.49750,  29.835, 4.291165E-01
  301,  0.50250,  30.166, 4.374460E-01
  302,  0.50750,  30.497, 4.460241E-01
  303,  0.51250,  30.830, 4.446607E-01
  304,  0.51750,  31.165, 4.353992E-01
  305,  0.52250,  31.500, 4.253176E-01
  306,  0.52750,  31.837, 4.227531E-01
  307,  0.53250,  32.175, 4.203053E-01
  308,  0.53750,  32.514, 4.161720E-01
  309,  0.54250,  32.854, 4.089921E-01
  310,  0.54750,  33.196, 4.029526E-01
  311,  0.55250,  33.539, 4.034346E-01
  312,  0.55750,  33.883, 4.019564E-01
  313,  0.56250,  34.229, 4.042193E-01
  314,  0.56750,  34.576, 4.121039E-01
  315,  0.57250,  34.925, 4.254355E-01
  316,  0.57750,  35.275, 4.272852E-01
  317,  0.58250,  35.627, 4.151557E-01
  318,  0.58750,  35.980, 4.097813E-01
  319,  0.59250,  36.335, 4.172272E-01
  320,  0.59750,  36.691, 4.216583E-01
  321,  0.60250,  37.049, 4.211699E-01
  322,  0.60750,  37.409, 4.174795E-01
  323,  0.61250,  37.770, 4.197581E-01
  324,  0.61750,  38.134, 4.170628E-01
  325,  0.62250,  38.499, 4.157376E-01
  326,  0.62750,  38.866, 4.179716E-01
  327,  0.63250,  39.235, 4.273213E-01
  328,  0.63750,  39.606, 4.399998E-01
  329,  0.64250,  39.978, 4.501242E-01
  330,  0.64750,  40.353, 4.582654E-01
  331,  0.65250,  40.730, 4.581372E-01
  332,  0.65750,  41.109, 4.535771E-01
  333,  0.66250,  41.491, 4.504754E-01
  334,  0.66750,  41.874, 4.424650E-01
  335,  0.67250,  42.260, 4.385624E-01
  336,  0.67750,  42.649, 4.500275E-01
  337,  0.68250,  43.039, 4.711500E-01
  338,  0.68750,  43.433, 4.717750E-01
  339,  0.69250,  43.828, 4.720263E-01
  340,  0.69750,  44.227, 4.792403E-01
  341,  0.70250,  44.628, 4.843599E-01
  342,  0.70750,  45.032, 4.936203E-01
  343,  0.71250,  45.439, 4.966934E-01
  344,  0.71750,  45.848, 5.007369E-01
  345,  0.72250,  46.261, 5.154774E-01
  346,  0.72750,  46.677, 5.217421E-01
  347,  0.73250,  47.096, 5.307671E-01
  348,  0.73750,  47.519, 5.396935E-01
  349,  0.74250,  47.945, 5.495090E-01
  350,  0.74750,  48.374, 5.575754E-01
  351,  0.75250,  48.807, 5.569177E-01
  352,  0.75750,  49.244, 5.579555E-01
  353,  0.76250,  49.685, 5.535479E-01
  354,  0.76750,  50.130, 5.512000E-01
  355,  0.77250,  50.579, 5.698497E-01
  356,  0.77750,  51.032, 5.784796E-01
  357,  0.78250,  51.490, 5.767932E-01
  358,  0.78750,  51.952, 5.905040E-01
  359,  0.79250,  52.420, 5.859933E-01
  360,  0.79750,  52.892, 5.814114E-01
  361,  0.80250,  53.370, 5.794119E-01
  362,  0.80750,  53.852, 5.546457E-01
  363,  0.81250,  54.341, 5.381981E-01
  364,  0.81750,  54.835, 5.284821E-01
  365,  0.82250,  55.336, 5.176602E-01
  366,  0.82750,  55.843, 5.166880E-01
  367,  0.83250,  56.356, 5.240102E-01
  368,  0.83750,  56.877, 5.249477E-01
  369,  0.84250,  57.405, 5.199419E-01
  370,  0.84750,  57.941, 5.073137E-01
  371,  0.85250,  58.485, 5.107193E-01
  372,  0.85750,  59.037, 5.236256E-01
  373,  0.86250,  59.598, 5.445287E-01
  374,  0.86750,  60.169, 5.955900E-01
  375,  0.87250,  60.750, 6.299424E-01
  376,  0.87750,  61.342, 6.384027E-01
  377,  0.88250,  61.945, 6.679858E-01
  378,  0.88750,  62.561, 6.754820E-01
  379,  0.89250,  63.189, 6.923528E-01
  380,  0.89750,  63.831, 7.127735E-01
  381,  0.90250,  64.489, 7.380718E-01
  382,  0.90750,  65.162, 7.462757E-01
  383,  0.91250,  65.853, 7.605197E-01
  384,  0.91750,  66.563, 7.411893E-01
  385,  0.92250,  67.294, 7.470150E-01
  386,  0.92750,  68.048, 6.962141E-01
  387,  0.93250,  68.828, 6.463174E-01
  388,  0.93750,  69.636, 5.740602E-01
  389,  0.94250,  70.476, 4.717234E-01
  390,  0.94750,  71.352, 4.052396E-01
  391,  0.95250,  72.270, 3.688722E-01
  392,  0.95750,  73.236, 3.024754E-01
  393,  0.96250,  74.259, 1.959243E-01
  394,  0.96750,  75.353, 2.990432E-01
  395,  0.97250,  76.532, 2.388121E-01
  396,  0.97750,  77.823, 2.069801E-01
  397,  0.98250,  79.265, 2.297989E-01
  398,  0.98750,  80.931, 2.421033E-01
  399,  0.99250,  82.978, 7.693950E-02
  400,  0.99750,  85.948, 1.320101E-10
